xd,road-name,road-num,bearing,miles,frc,county,state,zip,timezone_name,start_latitude,start_longitude,end_latitude,end_longitude
1310258835,LIBBIE AVE,,S,0.547881420308562,4,HENRICO,VA,23226,America/New_York,37.59008,-77.50397,37.58378,-77.51004
429128255,,,E,0.008613618420671,5,HENRICO,VA,23229,America/New_York,37.60317,-77.53848,37.60328,-77.53851
441067824,GLENSIDE DR,356,S,0.030468101955812,4,HENRICO,VA,23226,America/New_York,37.60372,-77.52583,37.60344,-77.52626
429129586,SKIPWITH RD,,S,0.009563333671702,4,HENRICO,VA,23294,America/New_York,37.63242,-77.53967,37.63229,-77.53973
429128250,,,E,0.026089919644059,5,HENRICO,VA,23229,America/New_York,37.60328,-77.53851,37.60332,-77.53805
441067827,N PARHAM RD,73,E,0.139391295221344,3,HENRICO,VA,23294,America/New_York,37.62481,-77.55255,37.62594,-77.55044
429128251,,,W,0.026089919644059,5,HENRICO,VA,23229,America/New_York,37.60332,-77.53805,37.60328,-77.53851
1310232223,GAYTON RD,,W,0.050138969234793,5,HENRICO,VA,23233,America/New_York,37.63161,-77.63779,37.63216,-77.63836
441067829,N PARHAM RD,73,W,0.14495140402753,3,HENRICO,VA,23294,America/New_York,37.62603,-77.55053,37.62485,-77.55272
131833555,LAKEWOOD MNR,,N,0.164215781187505,4,HENRICO,VA,23238,America/New_York,37.6078,-77.63439,37.61,-77.63408
388858120,JEB STUART PKWY,,N,0.006468673717774,4,HENRICO,VA,23059,America/New_York,37.67166,-77.45295,37.67171,-77.45305
388460345,SADLER RD,,S,0.147783636790817,5,HENRICO,VA,23060,America/New_York,37.65197,-77.59164,37.65023,-77.59014
449119061,FOREST AVE,,E,0.173690267292988,4,HENRICO,VA,23229,America/New_York,37.60108,-77.54452,37.60352,-77.54435
449119060,SPRINGFIELD RD,157,S,0.167281000888936,4,HENRICO,VA,23060,America/New_York,37.64299,-77.5593,37.64082,-77.56064
388858121,JEB STUART PKWY,,S,0.349998884783017,4,HENRICO,VA,23059,America/New_York,37.67157,-77.45304,37.66733,-77.45313
131971208,CHURCH RD,,E,0.088549500327875,5,HENRICO,VA,23233,America/New_York,37.6404,-77.64668,37.64115,-77.64537
1310225966,E PARHAM RD,73,E,0.030345590778479,3,HENRICO,VA,23228,America/New_York,37.63228,-77.50874,37.63247,-77.50824
132969602,COPPERAS LN,,N,0.047324092122864,5,HENRICO,VA,23233,America/New_York,37.62689,-77.62841,37.62747,-77.62795
388660804,LAUDERDALE DR,,S,0.005527466220313,4,HENRICO,VA,23233,America/New_York,37.62439,-77.64397,37.62431,-77.64397
1310448218,CLEVELAND ST,,S,0.009643336895646,5,HENRICO,VA,23228,America/New_York,37.6355,-77.46352,37.63538,-77.46361
388660801,GAYTON RD,,W,0.022136934198173,5,HENRICO,VA,23233,America/New_York,37.62786,-77.63761,37.62818,-77.63759
132791083,PINEDALE DR,,N,0.099596701894845,5,HENRICO,VA,23059,America/New_York,37.68199,-77.59421,37.6833,-77.59345
388660800,GAYTON RD,,W,0.069171287445903,5,HENRICO,VA,23233,America/New_York,37.62818,-77.63759,37.62918,-77.63753
1310232256,GAYTON RD,,E,0.050138969234793,5,HENRICO,VA,23233,America/New_York,37.63216,-77.63836,37.63161,-77.63779
1310491087,I-295 N,295,N,0.221826057298308,1,HENRICO,VA,23060,America/New_York,37.66555,-77.48116,37.66746,-77.48442
1310292727,I-295 S,295,S,0.659926334765147,1,HENRICO,VA,23060,America/New_York,37.670078849363,-77.581926630492,37.673565587967,-77.570693656549
388663071,OLD WYNDHAM DR,,E,0.055624072092639,5,HENRICO,VA,23059,America/New_York,37.69438,-77.62419,37.69514,-77.62386
388460350,SADLER RD,,S,0.142868479348913,5,HENRICO,VA,23060,America/New_York,37.65387,-77.59062,37.65197,-77.59164
1310572187,MEADOW RD,,W,0.31239428749083,5,HENRICO,VA,23150,America/New_York,37.51018,-77.24049,37.51468,-77.24029
1310541041,,,E,0.0187145476598,4,HENRICO,VA,23223,America/New_York,37.54413,-77.39464,37.54394,-77.39488
134824141,IMPALA DR,,N,0.067594862397641,5,HENRICO,VA,23228,America/New_York,37.61128,-77.48928,37.6122,-77.4897
1310271855,I-64 W,64,W,0.690223849732413,2,HENRICO,VA,23223,America/New_York,37.534880601728,-77.381426183534,37.54190170536,-77.390378182484
134824143,ALMA AVE,,N,0.008575589230358,5,HENRICO,VA,23222,America/New_York,37.58387,-77.43569,37.58399,-77.43565
1310589862,84A,,E,0.437955455071581,2,HENRICO,VA,23227,America/New_York,37.65236,-77.45106,37.65577,-77.44575
134955511,CHARLES ST,,N,0.070706264676678,5,HENRICO,VA,23226,America/New_York,37.59358,-77.5265,37.59444,-77.5258
1310292738,51A,,S,0.327641361133111,4,HENRICO,VA,23060,America/New_York,37.6707,-77.57992,37.67004,-77.58044
135010829,EASTPARK CT,,W,0.01197805540626,5,HENRICO,VA,23075,America/New_York,37.53334,-77.32574,37.53341,-77.32594
1310232251,PUMP RD,,N,0.010600618281494,4,HENRICO,VA,23233,America/New_York,37.63556,-77.61304,37.63559,-77.61323
132347609,CHARLES ST,,S,0.06544053824754,5,HENRICO,VA,23226,America/New_York,37.59519,-77.52507,37.59444,-77.5258
1310589855,I-295 N,295,N,0.727927199936024,1,HENRICO,VA,23060,America/New_York,37.678669971505,-77.554850174136,37.67535197329,-77.56745729344
1310451851,TURNER RD,,N,0.566491374250654,4,HENRICO,VA,23231,America/New_York,37.43641487848,-77.305886103782,37.444083395898,-77.304599361281
132233675,AUTUMNWOOD DR,,N,0.044936881774196,5,HENRICO,VA,23059,America/New_York,37.67259,-77.60401,37.67324,-77.60403
134753276,DOMINION CLUB DR,,N,0.033204741156737,5,HENRICO,VA,23059,America/New_York,37.69915,-77.60294,37.69937,-77.6024
1310484792,WYNDHAM LAKE DR,,S,0.191019038961391,5,HENRICO,VA,23059,America/New_York,37.70156,-77.61595,37.69912,-77.61474
135332089,PALMER PLACE CT,,W,0.006566980137685,5,HENRICO,VA,23238,America/New_York,37.62322,-77.64385,37.62322,-77.64397
131925397,TECHPARK PL,,N,0.007433170427677,5,HENRICO,VA,23150,America/New_York,37.49337,-77.25082,37.49347,-77.25077
1310384567,THREE CHOPT RD,,E,0.00993327073149,4,HENRICO,VA,23233,America/New_York,37.65082,-77.62323,37.6507,-77.62313
131887395,LYNCHELL PL,,S,0.123914325568174,5,HENRICO,VA,23238,America/New_York,37.59314,-77.60412,37.59135,-77.60426
132590950,HERMITAGE RD,,S,0.05885681934026,4,HENRICO,VA,23228,America/New_York,37.61321,-77.47291,37.6124,-77.47258
135680429,GRAND OAKS DR,,W,0.072363935601197,5,HENRICO,VA,23233,America/New_York,37.6303,-77.57358,37.63099,-77.57457
134709122,EDGELAWN ST,,E,0.075922175977582,5,HENRICO,VA,23231,America/New_York,37.50988,-77.39361,37.50924,-77.39252
134956858,ROUX ST,,S,0.062960770745878,5,HENRICO,VA,23230,America/New_York,37.59084,-77.4943,37.58993,-77.49424
484661299,WOODMAN RD,,W,0.627252394614967,4,HENRICO,VA,23059,America/New_York,37.67630117779,-77.468733066297,37.67671,-77.4789
388460377,SADLER RD,,E,0.063930482802941,5,HENRICO,VA,23060,America/New_York,37.66647,-77.58018,37.66618,-77.57907
135344076,LULLINGTON DR,,E,0.089408057520861,5,HENRICO,VA,23238,America/New_York,37.62232,-77.64694,37.623,-77.64555
1310589866,I-295 N,295,N,0.39215291527158,1,HENRICO,VA,23060,America/New_York,37.67979,-77.54782,37.678669971505,-77.554850174136
134629327,TOWNE CENTER WEST BLVD,,E,0.209606602014055,5,HENRICO,VA,23233,America/New_York,37.65873,-77.62716,37.65782,-77.62372
134851752,EUBANK RD,,E,0.007672969731569,4,HENRICO,VA,23231,America/New_York,37.51157,-77.34967,37.51157,-77.34953
441055813,SPRINGFIELD RD,157,S,0.165733312693888,4,HENRICO,VA,23060,America/New_York,37.65135,-77.56121,37.649,-77.56062
134753283,WESTBRIAR DR,,N,0.134322112892082,5,HENRICO,VA,23238,America/New_York,37.59575,-77.62318,37.59769,-77.62306
134553672,LONGVIEW LANDING DR,,W,0.116143421560543,5,HENRICO,VA,23233,America/New_York,37.64296,-77.60551,37.64359,-77.60727
1310283819,N PARHAM RD,73,W,0.680657291359256,3,HENRICO,VA,23294,America/New_York,37.62929,-77.53922,37.62603,-77.55053
429129549,,,W,0.011176094892798,5,HENRICO,VA,23060,America/New_York,37.64721,-77.58644,37.64737,-77.58647
429129548,,,W,0.039730838211152,5,HENRICO,VA,23233,America/New_York,37.64724,-77.58663,37.64672,-77.58694
135039699,VIRGINIA CENTER PKWY,,E,0.147632894828497,5,HENRICO,VA,23059,America/New_York,37.65812,-77.44034,37.65767,-77.43787
135337793,LIESFELD PKWY,,W,0.067357790173356,5,HENRICO,VA,23060,America/New_York,37.64717,-77.60633,37.64735,-77.60754
1310225977,E NINE MILE RD,33,E,0.734928351674595,4,HENRICO,VA,23075,America/New_York,37.54601,-77.32765,37.53753,-77.31958
132781645,SADLER PL,,S,0.17680206186379,5,HENRICO,VA,23060,America/New_York,37.66512,-77.57658,37.66342,-77.57421
1310363635,JOHN ROLFE PKWY,,N,0.662099806181357,4,HENRICO,VA,23238,America/New_York,37.613,-77.63181,37.62004,-77.62361
429129544,VINERY AVE,,N,0.022582805195581,5,HENRICO,VA,23233,America/New_York,37.65718,-77.64098,37.65734,-77.64134
