INO,Signal Name,Street 1,Street 2,FYA,Type,Latitude,Longitude,Miovision Camera,Camera,Layer 2 (Switch),Layer 3 (Router),Iteris Camera,Gridsmart Camera,ITS-Plus Camera,CCTV Camera,Walk Signal Phase,Walk Crossing Locations,Coordination Group,Coordination Corridor,Dual Left
165,Laburnum Ave. & Watts La.,Laburnum Ave.,Watts La.,FYA,Mast Arm,37.565797,-77.378141,,,Yes,,,,,,PH-2- SB Watts La.,NW-SW,15,N. Laburnum,
166,Greenwood Rd. & Old Washington Hwy.,Greenwood Rd.,Old Washington Hwy.,,Span Wire,37.688445,-77.499494,,Gridsmart,,Yes,,Yes,,,,,16,Isolated,
167,Buffin Rd. & New Market Rd.,Buffin Rd.,New Market Rd.,,Red Flash,37.442517,-77.346481,,,,,,,,,,,,,
168,Eubank Rd. & Lewis Rd.,Eubank Rd.,Lewis Rd.,,Red Flash,37.511677,-77.340633,,,,,,,,,,,,,
169,Parham Rd. & Homeview Dr.,Parham Rd.,Homeview Dr.,FYA,Span Wire,37.628767,-77.544905,,,Yes,,,,,,,,16,Isolated,
170,Dominion Blvd. & Innslake Dr.,Dominion Blvd.,Innslake Dr.,,Span Wire,37.651436,-77.58542,,Gridsmart,Yes,,,Yes,,,,,16,Isolated,
171,Three Chopt Rd. & Park Terrace Dr.,Three Chopt Rd.,Park Terrace Dr.,RRFB,Ped Flash,37.647256,-77.618565,,,,,,,,,,,,,
172,Twin Hickory Rd. & Hickory Bend,Twin Hickory Rd.,Hickory Bend,PHB,Hawk Ped,37.67614,-77.593345,,,,,,,,,,,,,
173,Church Rd. & Bell Tower La./ Thamesford,Church Rd.,Bell Tower La./ Thamesford,,Ped Flash,37.637018,-77.600846,,,,,,,,,,,,,
174,Francistown Rd. & Singletree La.,Francistown Rd.,Singletree La.,RRFB,Ped Flash,37.666941,-77.542865,,,,,,,,,,,,,
175,Francistown Rd. & Shimmering La.,Francistown Rd.,Shimmering La.,RRFB,Ped Flash,37.659677,-77.544855,,,,,,,,,,,,,
176,Austin Ave. & Byron St.,Austin Ave.,Byron St.,,Red Flash,37.575873,-77.403875,,,,,,,,,,,,,
177,Libbie Ave. & Fitzhugh Ave.,Libbie Ave.,Fitzhugh Ave.,RRFB,Ped Flash,37.5871,-77.506751,,,,,,,,,,,,,
178,Twin Hickory Lake Dr & Parsons Walk,Twin Hickory Lake Dr,Parsons Walk,,Ped Flash,37.662372,-77.607902,,,,,,,,,,,,,
179,Church Rd. & Glen Gary Dr.,Church Rd.,Glen Gary Dr.,,Ped Flash,37.635223,-77.630813,,,,,,,,,,,,,
180,Church Rd. & Waterford Way,Church Rd.,Waterford Way,,Ped Flash,37.633128,-77.625615,,,,,,,,,,,,,
181,Church Rd. & Retrievers Ridge Rd.,Church Rd.,Retrievers Ridge Rd.,,Ped Flash,37.631826,-77.620658,,,,,,,,,,,,,
182,Three Chopt Rd. & Bexhill Rd.,Three Chopt Rd.,Bexhill Rd.,,Ped Flash,37.602547,-77.557051,,,,,,,,,,,,,
183,Mill Rd. & Mill Place Dr.,Mill Rd.,Mill Place Dr.,,Ped Flash,37.67841,-77.524699,,,,,,,,,,,,,
184,Woodman Rd  & Magnolia Ridge Dr.,Woodman Rd ,Magnolia Ridge Dr.,RRFB,Ped Flash,37.674107,-77.466098,,,,,,,,,,,,,
185,Twin Hickory Lake Dr & Saddleridge Rd.,Twin Hickory Lake Dr,Saddleridge Rd.,RRFB,Ped Flash,37.671666,-77.597535,,,,,,,,,,,,,
186,Forest Ave. & University Blvd.,Forest Ave.,University Blvd.,RRFB,Ped Flash,37.588225,-77.55182,,,,,,,,,,,,,
187,Ridge Rd. & Glendale Dr.,Ridge Rd.,Glendale Dr.,RRFB,Ped Flash,37.588584,-77.563128,,,,,,,,,,,,,
188,Horsepen Rd. & Normandy Dr.,Horsepen Rd.,Normandy Dr.,RRFB,Ped Flash,37.593765,-77.533268,,,,,,,,,,,,,
189,Forest Ave. & Silversprings Dr.,Forest Ave.,Silversprings Dr.,RRFB,Ped Flash,37.583905,-77.554113,,,,,,,,,,,,,
190,N. Ridge & University Dr.,N. Ridge,University Dr.,,Ped Flash,37.576999,-77.55246,,,,,,,,,,,,,
191,Mountain Rd  & Courtney Rd,Mountain Rd ,Courtney Rd,,Ped Flash,37.671005,-77.518714,,,,,,,,,,,,,
192,Richmond-Henrico Tnpk & Lot J/ Amazon,Richmond-Henrico Tnpk,Lot J/ Amazon,FYA,Mast Arm,37.605289,-77.417615,,Gridsmart,,,,Yes,,,,,8,Azalea,
193,N. Gayton Rd. & Glastonbury Dr.,N. Gayton Rd.,Glastonbury Dr.,RRFB,Ped Flash,37.652824,-77.636854,,,,,,,,,,,,,
194,N. Gayton Rd.  & Ridgemere Dr,N. Gayton Rd. ,Ridgemere Dr,RRFB,Ped Flash,37.642103,-77.63317,,,,,,,,,,,,,
195,Church Rd  & Westek,Church Rd ,Westek,,Ped Flash,37.636438,-77.590838,,,,,,,,,,,,,
196,Derbyshire Rd. & Gaslight Dr,Derbyshire Rd.,Gaslight Dr,RRFB,Ped Flash,37.591366,-77.595693,,,,,,,,,,,,,
197,N. Ridge Rd & Holmes Ave,N. Ridge Rd,Holmes Ave,RRFB,Ped Flash,37.580557,-77.554491,,,,,,,,,,,,,
198,Laburnum Ave. & Olga Sauer Blvd,Laburnum Ave.,Olga Sauer Blvd,FYA,Mast Arm,37.486596,-77.35466,,Iteris,,,Yes,,,,,,16,Isolated,
199,Cedarfield Pkwy & Three Chopt Rd.,Cedarfield Pkwy,Three Chopt Rd.,FYA,Mast Arm,37.635019,-77.581873,Yes,Miovision,,,,,,,,,16,Isolated,
200,Wyndham Lake Dr  & Wyndham Lake Dr Trail,Wyndham Lake Dr ,Wyndham Lake Dr Trail,RRFB,Ped Flash,37.695321,-77.612441,,,,,,,,,,,,,
201,Azalea Ave. & Sandpiper Dr,Azalea Ave.,Sandpiper Dr,RRFB,Ped Flash,37.602598,-77.432996,,,,,,,,,,,,,
202,Westham Pkwy & Beechwood Dr,Westham Pkwy,Beechwood Dr,RRFB,Ped Flash,37.583804,-77.548362,,,,,,,,,,,,,
203,Staples Mills Rd  & Fire Station 20,Staples Mills Rd ,Fire Station 20,,Fire House,37.629507,-77.506549,,,,,,,,,,,,,
204,Rich-Hen Turnpike St lights & ,Rich-Hen Turnpike St lights,,,StreetLlights,37.602602,-77.423535,,,,,,,,,,,,,
205,Nine Mile Rd  & ,Nine Mile Rd ,,,Fire House,37.550547,-77.352572,,,,,,,,,,,,,
206,Cox Rd. & Village Run Dr,Cox Rd.,Village Run Dr,RRFB,Ped Flash,37.659966,-77.57465,,,,,,,,,,,,,
207,Woodman Rd  & Trevvett Dr,Woodman Rd ,Trevvett Dr,RRFB,Ped Flash,37.638421,-77.489591,,,,,,,,,,,,,
208,Liesfeld Farm Dr & Bacova Club Ct,Liesfeld Farm Dr,Bacova Club Ct,RRFB,Ped Flash,37.664261,-77.619962,,,,,,,,,,,,,
209,Old Prescott Rd & Pump Rd,Old Prescott Rd,Pump Rd,PHB,Hawk Ped,37.619686,-77.606495,,,,,,,,,,,,,
